"1","College","Casual","Hot","Medium","Average","Beige Open Shirt","Black Slim Jeans","White Sneakers","None","college/college1.jpeg"
"2","Office","Formal","Cold","Fair","Slim","Grey Striped Half Sleeve Shirt","Black Formal Trousers","Brown Leather Shoes","Office Bag","office/office1.jpeg"
"3","Party","Smart Casual","Hot","Dark","Broad","Olive embroidered waistcoat with cream kurta","Cream pajama","Brown loafers","Traditional Watch","party/party1.jpeg"
"4","Interview","Formal","Normal","Medium","Average","Light Cream Formal Shirt","Off White Trousers","Brown Formal Shoes","Brown Belt","interview/interview1.jpeg"
"5","College","Casual","Hot","Medium","Average","White Graphic T-Shirt","Black Jeans","White Sneakers","None","college/college2.jpeg"
"6","Party","Smart Casual","Hot","Dark","Broad","Black kurta with floral embroidered jacket","Black pajama","Traditional loafers","Bracelet","party/party2.jpeg"
"7","Office","Formal","Cold","Fair","Slim","Cream T-Shirt with Brown Jacket","Brown Chinos","White Sneakers","None","office/office2.jpeg"
"8","Interview","Formal","Normal","Medium","Average","Light Blue Formal Shirt","Black Formal Trousers","Black Formal Shoes","Watch","interview/interview2.jpeg"
"9","College","Casual","Normal","Fair","Slim","Dark Green Casual Shirt","Beige Chinos","White Sneakers","Watch","college/college3.jpeg"
"10","College","Casual","Cold","Medium","Average","Red Sweatshirt","Beige Chinos","Brown Casual Shoes","None","college/college4.jpeg"
"11","College","Casual","Hot","Dark","Broad","Cream Long Sleeve T-Shirt","Beige Pants","Brown Sandals","None","college/college5.jpeg"
"12","College","Casual","Normal","Medium","Slim","Black Checkered Shirt","Blue Jeans","White Sneakers","None","college/college6.jpeg"
"13","Office","Formal","Normal","Fair","Average","Rust Orange Polo T-Shirt","Navy Blue Trousers","Brown Loafers","Watch","office/office3.jpeg"
"14","Office","Formal","Hot","Medium","Slim","Dark Brown Formal Shirt","Light Grey Trousers","White Sneakers","Watch","office/office4.jpeg"
"15","Office","Formal","Cold","Dark","Broad","Black Formal Shirt","Beige Trousers","Brown Formal Shoes","Watch","office/office5.jpeg"
"16","Office","Formal","Normal","Medium","Average","Olive Green Casual Shirt","Off White Trousers","White Sneakers","None","office/office6.jpeg"
"17","Party","Smart Casual","Normal","Medium","Average","White formal shirt","Brown trousers","Black formal shoes","Brooch","party/party3.jpeg"
"18","Party","Smart Casual","Cold","Fair","Slim","Dark plum formal shirt","White trousers","Brown loafers","Bracelet","party/party4.jpeg"
"19","Party","Smart Casual","Hot","Medium","Broad","Black embroidered kurta","Black trousers","Black formal shoes","Pink Stole","party/party5.jpeg"
"20","Party","Smart Casual","Normal","Dark","Average","Beige double-breasted blazer with white shirt","Navy trousers","Black loafers","Watch","party/party6.jpeg"
"21","Interview","Formal","Cold","Fair","Slim","Brown Formal Shirt","Beige Trousers","Brown Loafers","Brown Belt","interview/interview3.jpeg"
"22","Interview","Formal","Hot","Medium","Average","Light Blue Formal Shirt","Black Formal Trousers","Black Formal Shoes","Brown Belt","interview/interview4.jpeg"
"23","Interview","Formal","Normal","Dark","Broad","Pink Formal Shirt","Black Formal Trousers","Black Formal Shoes","Black Belt","interview/interview5.jpeg"
"24","Interview","Formal","Cold","Medium","Average","Light Pink Formal Shirt","Grey Formal Trousers","Black Formal Shoes","Brown Belt","interview/interview6.jpeg"
"25","College","Casual","Hot","Fair","Slim","Grey Bomber Jacket Over Check Shirt","Black Jeans","Brown Boots","None","college/college7.jpeg"
"26","College","Casual","Normal","Medium","Average","Maroon College Sweatshirt","Khaki Chinos","Brown Casual Shoes","Backpack","college/college8.jpeg"
"27","College","Casual","Cold","Dark","Broad","Striped Full Sleeve T-Shirt","Black Slim Jeans","Black Sneakers","None","college/college9.jpeg"
"28","College","Casual","Hot","Medium","Slim","Light Blue Overshirt","Dark Blue Jeans","White Sneakers","None","college/college10.jpeg"
"29","Office","Casual","Normal","Fair","Average","Grey Patterned Formal Shirt","Beige Trousers","Brown Formal Shoes","Eyeglasses","office/office19.jpeg"
"30","Office","Casual","Cold","Medium","Broad","Maroon Formal Shirt","Black Trousers","Black Formal Shoes","None","office/office20.jpeg"
"31","Office","Casual","Hot","Dark","Average","Blue Textured Formal Shirt","Navy Blue Trousers","Black Formal Shoes","Watch","office/office21.jpeg"
"32","Office","Casual","Normal","Medium","Slim","Grey Striped Half Sleeve Shirt","Black Trousers","Brown Formal Shoes","Sunglasses, Office Bag","office/office22.jpeg"
"33","Office","Casual","Cold","Fair","Broad","Blue Textured Formal Shirt","Blue Formal Trousers","Black Formal Shoes","Eyeglasses","office/office23.jpeg"
"34","Party","Casual","Hot","Medium","Average","Ice blue sherwani with stole","White churidar","White loafers","Brooch","party/party16.jpeg"
"35","Office","Formal","Hot","Fair","Slim","Dark Brown Formal Shirt","Cream Trousers","Brown Loafers","None","office/office7.jpeg"
"36","Office","Formal","Normal","Medium","Average","Dark Brown Polo T-Shirt","Beige Trousers","Brown Loafers","Watch","office/office8.jpeg"
"37","Office","Formal","Cold","Dark","Broad","Beige Formal Shirt","Olive Green Trousers","Brown Loafers","Watch","office/office9.jpeg"
"38","Office","Formal","Hot","Medium","Slim","Maroon Formal Shirt","Navy Blue Trousers","Brown Formal Shoes","Watch","office/office10.jpeg"
"39","Office","Formal","Normal","Fair","Average","Beige Formal Shirt","Grey Formal Trousers","Brown Formal Shoes","Brown Belt","office/office11.jpeg"
"40","Office","Formal","Cold","Medium","Broad","Off White Polo T-Shirt","Black Trousers","Black Formal Shoes","Eyeglasses","office/office12.jpeg"
"41","Office","Formal","Hot","Dark","Average","Light Blue Striped Formal Shirt","Grey Formal Trousers","Brown Formal Shoes","Office Bag","office/office13.jpeg"
"42","Office","Formal","Normal","Medium","Slim","Light Blue Shirt with Navy Sweater","Grey Trousers","Brown Formal Shoes","None","office/office14.jpeg"
"43","Office","Formal","Cold","Fair","Broad","White Formal Shirt","Charcoal Grey Trousers","Black Formal Shoes","Blazer","office/office15.jpeg"
"44","Office","Formal","Normal","Dark","Average","Navy Blue Formal Shirt","Grey Trousers","Brown Formal Shoes","Watch","office/office16.jpeg"
"45","Party","Smart Casual","Hot","Fair","Slim","Camel blazer with black turtleneck","Black trousers","Brown formal shoes","Brooch","party/party7.jpeg"
"46","Party","Smart Casual","Normal","Medium","Average","Ivory embroidered sherwani","Ivory churidar","Brown mojari","Bracelet","party/party8.jpeg"
"47","Party","Smart Casual","Cold","Dark","Broad","Pink sherwani","White churidar","Barefoot traditional style","Watch","party/party9.jpeg"
"48","Party","Smart Casual","Hot","Medium","Slim","Black fitted t-shirt","Black trousers","Black shoes","Patterned Stole","party/party10.jpeg"
